LONGITUDE,LATITUDE,ETAPA,UNIDADE_LEITURA,TEMPO,TIPO
-44.7849631,-4.2392554,1,BL01B004,0.17,U
-44.7829648,-4.2389368,1,BL01B004,1.08,U
-44.7839611,-4.2398716,1,BL01B004,0.21,U
-44.7828374,-4.2385244,1,BL01B004,0.24,U
-44.7847156,-4.240431,1,BL01B004,0.22,U
-44.7849655,-4.2392612,1,BL01B004,0.49,U
-44.7826987,-4.2383698,1,BL01B004,0.25,U
-44.7856626,-4.2396656,1,BL01B004,0.24,U
-44.7837753,-4.2399361,1,BL01B004,1.08,U
-44.7854646,-4.2395356,1,BL01B004,0.24,U
-44.7856003,-4.2396087,1,BL01B004,0.35,U
-44.7849562,-4.2392579,1,BL01B004,0.48,U
-44.7841607,-4.2401397,1,BL01B004,1.3,U
-44.7842002,-4.2401779,1,BL01B004,0.4,U
-44.7849612,-4.2392557,1,BL01B004,2.26,U
-44.7828696,-4.2390019,1,BL01B004,0.14,U
-44.7849593,-4.2392547,1,BL01B004,0.17,U
-44.7845213,-4.2408786,1,BL01B004,0.41,U
-44.7827797,-4.2384717,1,BL01B004,0.3,U
-44.7849621,-4.2392538,1,BL01B004,2.3,U
-44.7828205,-4.2375867,1,BL01B004,0.35,U
-44.7838268,-4.2401042,1,BL01B004,0.41,U
-44.7844521,-4.2410703,1,BL01B004,0.11,U
-44.7823296,-4.2391889,1,BL01B004,0.24,U
-44.7823041,-4.239162,1,BL01B004,0.27,U
-44.7854169,-4.2394981,1,BL01B004,0.24,U
-44.7845454,-4.2407497,1,BL01B004,0.43,U
-44.7845822,-4.2407968,1,BL01B004,7.34,U
-44.7842209,-4.2388461,1,BL01B004,0.45,U
-44.7827912,-4.2375499,1,BL01B004,0.27,U
-44.782842,-4.2390137,1,BL01B004,0.4,U
-44.7847771,-4.2384134,1,BL01B004,0.48,U
-44.7844886,-4.2408439,1,BL01B004,0.3,U
-44.7827617,-4.2384575,1,BL01B004,0.28,U
-44.7827549,-4.2384405,1,BL01B004,1.08,U
-44.7849836,-4.2406453,1,BL01B004,0.42,U
