ID_INSTALACAO,LATITUDE,LONGITUDE,ETAPA,UL,TEMPO,TIPO
1769337,-2.5232131,-45.0998286,1,PH01B003,143,U
1769344,-2.524376,-45.1004994,1,PH01B003,64,U
1771613,-2.5246328,-45.1002093,1,PH01B003,164,U
1779612,-2.5248305,-45.1014989,1,PH01B003,21,U
1784123,-2.52500641,-45.10024983,1,PH01B003,46,U
1784133,-2.5253764,-45.1001798,1,PH01B003,44,U
1791270,-2.5239467,-45.0999733,1,PH01B003,43,U
1805524,-2.5238809,-45.1007092,1,PH01B003,43,U
1809099,-2.5249563,-45.1000784,1,PH01B003,157,U
1815824,-2.5252753,-45.0999968,1,PH01B003,135,U
1845395,-2.5246852,-45.1014191,1,PH01B003,27,U
1860271,-2.5237729,-45.1006399,1,PH01B003,43,U
1868128,-2.5246331,-45.1005164,1,PH01B003,29,U
1869888,-2.5241561,-45.1009238,1,PH01B003,19,U
1870059,-2.52478564,-45.100719466667,1,PH01B003,26,U
1881346,-2.5247714,-45.101519,1,PH01B003,62,U
1887573,-2.525294,-45.1007637,1,PH01B003,31,U
1889182,-2.5249868,-45.1000107,1,PH01B003,39,U
1902243,-2.524996,-45.1000568,1,PH01B003,34,U
1907368,-2.5253335,-45.1007506,1,PH01B003,28,U
1910906,-2.52492061,-45.101493996667,1,PH01B003,29,U
1913085,-2.5244346,-45.1008395,1,PH01B003,31,U
1913090,-2.5245116,-45.1008314,1,PH01B003,51,U
1913509,-2.5245917,-45.1008105,1,PH01B003,72,U
1913510,-2.5246429,-45.1007833,1,PH01B003,41,U
1913952,-2.525223,-45.1007642,1,PH01B003,37,U
1913956,-2.5251637,-45.1007765,1,PH01B003,22,U
1913966,-2.525117,-45.1007834,1,PH01B003,34,U
1919666,-2.5248514,-45.1017702,1,PH01B003,55,U
1924347,-2.52329075087,-45.09989861087,1,PH01B003,57,U
1924877,-2.5247565,-45.1017302,1,PH01B003,29,U
1924880,-2.5247364,-45.101671,1,PH01B003,27,U
1925312,-2.5247227,-45.1016188,1,PH01B003,24,U
1925313,-2.5246997,-45.1015592,1,PH01B003,30,U
1928336,-2.5243921,-45.1008374,1,PH01B003,24,U
1930880,-2.5236938,-45.100742,1,PH01B003,38,U
1931227,-2.5249071,-45.0999317,1,PH01B003,34,U
1935622,-2.5234075,-45.1002081,1,PH01B003,112,U
1938229,-2.5242671,-45.1009027,1,PH01B003,31,U
1958935,-2.524769,-45.1003039,1,PH01B003,45,U
1961794,-2.5249285,-45.1000012,1,PH01B003,69,U
1962148,-2.523665,-45.0999381,1,PH01B003,224,U
1971462,-2.523966,-45.1006721,1,PH01B003,48,U
1986750,-2.5251328,-45.1006792,1,PH01B003,76,U
1988755,-2.5238978,-45.0998628,1,PH01B003,88,U
1997032,-2.5234122,-45.1000523,1,PH01B003,84,U
2016469,-2.5235804,-45.1007422,1,PH01B003,135,U
2018738,-2.5230254,-45.1007719,1,PH01B003,25,U
2019488,-2.5244546,-45.1005704,1,PH01B003,24,U
2022456,-2.5241031,-45.1009263,1,PH01B003,25,U
2027209,-2.5239181,-45.1015435,1,PH01B003,26,U
2027220,-2.5239107,-45.1014747,1,PH01B003,31,U
2027634,-2.5238797,-45.1014382,1,PH01B003,24,U
2027637,-2.5238677,-45.1013118,1,PH01B003,26,U
2027641,-2.5238284,-45.1012484,1,PH01B003,27,U
2027645,-2.5238208,-45.1011719,1,PH01B003,59,U
2030811,-2.5251399,-45.1003536,1,PH01B003,54,U
2031506,-2.5234467,-45.1008738,1,PH01B003,42,U
2047793,-2.5239365,-45.1005973,1,PH01B003,41,U
2049436,-2.52439,-45.1004387,1,PH01B003,146,U
2053046,-2.5230024,-45.1007111,1,PH01B003,41,U
2055347,-2.5244028,-45.1005797,1,PH01B003,23,U
2061188,-2.5235563,-45.1006023,1,PH01B003,35,U
2062260,-2.5229662,-45.1006432,1,PH01B003,27,U
2062265,-2.5229446,-45.1006115,1,PH01B003,28,U
2064437,-2.5245822,-45.1005328,1,PH01B003,22,U
2070969,-2.5237167,-45.1006628,1,PH01B003,27,U
2075206,-2.5245292,-45.1005548,1,PH01B003,21,U
2079133,-2.5237462,-45.1008664,1,PH01B003,30,U
2083752,-2.5233756,-45.1017929,1,PH01B003,22,U
2084166,-2.5234699,-45.1017934,1,PH01B003,40,U
2084171,-2.52351103,-45.10176114,1,PH01B003,25,U
2084174,-2.5235577,-45.1017604,1,PH01B003,26,U
2084176,-2.523623,-45.1017603,1,PH01B003,27,U
2084177,-2.5238656,-45.0999624,1,PH01B003,58,U
2084178,-2.52365743,-45.1017413,1,PH01B003,26,U
2084184,-2.5237319,-45.1017147,1,PH01B003,25,U
2084185,-2.5232157,-45.1007511,1,PH01B003,68,U
2084189,-2.5237742,-45.1016964,1,PH01B003,28,U
2084604,-2.5238497,-45.1016774,1,PH01B003,25,U
2084605,-2.523866,-45.1016693,1,PH01B003,102,U
2084608,-2.5239339,-45.1016699,1,PH01B003,21,U
2084611,-2.5233519,-45.1017528,1,PH01B003,27,U
2086400,-2.5233789,-45.101713,1,PH01B003,25,U
2086402,-2.5234617,-45.101713,1,PH01B003,28,U
2086405,-2.5234776,-45.1017039,1,PH01B003,40,U
2086407,-2.5235623,-45.101691,1,PH01B003,27,U
2086409,-2.523612,-45.1016945,1,PH01B003,29,U
2086412,-2.5237226,-45.1016561,1,PH01B003,51,U
2087604,-2.5243663,-45.1015967,1,PH01B003,53,U
2090269,-2.5252834,-45.1012148,1,PH01B003,22,U
2092044,-2.523432,-45.1009205,1,PH01B003,52,U
2096848,-2.5238793,-45.1009854,1,PH01B003,36,U
2099043,-2.5243366,-45.1006135,1,PH01B003,23,U
2099321,-2.5234734,-45.1009302,1,PH01B003,73,U
2103579,-2.5229329,-45.1005692,1,PH01B003,26,U
2103581,-2.52289566,-45.100491866667,1,PH01B003,29,U
2103582,-2.522915,-45.100465,1,PH01B003,55,U
