ID_INSTALACAO,LATITUDE,LONGITUDE,ETAPA,UL,TEMPO,TIPO
289616,-2.5289056,-45.0997125,1,PH01B001,75,U
289617,-2.5289629,-45.0999156,1,PH01B001,81,U
289618,-2.5288602,-45.0998952,1,PH01B001,45,U
289619,-2.528912,-45.09997,1,PH01B001,54,U
289620,-2.52883,-45.1000028,1,PH01B001,35,U
289621,-2.5288646,-45.1000941,1,PH01B001,24,U
289622,-2.5287371,-45.1002054,1,PH01B001,65,U
289623,-2.5287816,-45.1003449,1,PH01B001,64,U
289624,-2.528703,-45.1002972,1,PH01B001,41,U
289625,-2.5286839,-45.1003754,1,PH01B001,40,U
289626,-2.5291538,-45.1003881,1,PH01B001,19,U
289627,-2.5292896,-45.1004078,1,PH01B001,14,U
289628,-2.5293199,-45.1003931,1,PH01B001,50,U
289629,-2.5294804,-45.1003963,1,PH01B001,51,U
289630,-2.5295197,-45.1003942,1,PH01B001,30,U
289631,-2.5296213,-45.100382,1,PH01B001,85,U
289632,-2.5302567,-45.1003686,1,PH01B001,31,U
289633,-2.5305369,-45.1003612,1,PH01B001,126,U
289634,-2.5298897,-45.1004796,1,PH01B001,28,U
289635,-2.52977,-45.1004857,1,PH01B001,46,U
289636,-2.5296676,-45.1004823,1,PH01B001,50,U
289637,-2.5297349,-45.1003896,1,PH01B001,31,U
289638,-2.5292202,-45.1004994,1,PH01B001,22,U
289639,-2.5291646,-45.100503,1,PH01B001,46,U
290062,-2.5289233,-45.1004923,1,PH01B001,19,U
290063,-2.5287618,-45.1004927,1,PH01B001,43,U
290087,-2.5286305,-45.1005282,1,PH01B001,60,U
290088,-2.5285631,-45.1007554,1,PH01B001,25,U
290089,-2.5285951,-45.1006606,1,PH01B001,43,U
290511,-2.5285369,-45.1010425,1,PH01B001,41,U
290508,-2.5286189,-45.1008202,1,PH01B001,67,U
290509,-2.5285685,-45.1008623,1,PH01B001,24,U
290510,-2.528544,-45.1009401,1,PH01B001,34,U
290512,-2.5284901,-45.101161,1,PH01B001,30,U
290513,-2.5284751,-45.1012086,1,PH01B001,31,U
290514,-2.52844876,-45.1012758033,1,PH01B001,36,U
290515,-2.52828078,-45.10160119,1,PH01B001,34,U
290516,-2.5283316,-45.1016646,1,PH01B001,52,U
290517,-2.5281458,-45.102104,1,PH01B001,77,U
290519,-2.5281429,-45.1022841,1,PH01B001,147,U
290520,-2.5282446,-45.102329,1,PH01B001,117,U
291796,-2.5292069,-45.0989725,1,PH01B001,54,U
291797,-2.5291439667,-45.09906634,1,PH01B001,26,U
291793,-2.5293612,-45.098947,1,PH01B001,106,U
290912,-2.5306994,-45.0987709,1,PH01B001,19,U
290913,-2.5306604,-45.098701,1,PH01B001,26,U
290914,-2.5306388,-45.0986488,1,PH01B001,24,U
291798,-2.5292658,-45.0990352,1,PH01B001,26,U
291799,-2.5292439,-45.0991087,1,PH01B001,81,U
291800,-2.5291561,-45.0990885,1,PH01B001,24,U
291801,-2.5291467,-45.0991583,1,PH01B001,15,U
291802,-2.529223,-45.0991858,1,PH01B001,53,U
291803,-2.5291263,-45.0992132,1,PH01B001,18,U
291804,-2.5291106,-45.0992555,1,PH01B001,24,U
291805,-2.5290698,-45.0993372,1,PH01B001,58,U
291806,-2.529129,-45.09942,1,PH01B001,73,U
291807,-2.5290066,-45.0995296,1,PH01B001,34,U
292620,-2.5306906,-45.1022849,1,PH01B001,125,U
292621,-2.5304866,-45.1021129,1,PH01B001,29,U
292618,-2.5305681,-45.1026149,1,PH01B001,60,U
292619,-2.530351,-45.1023503,1,PH01B001,77,U
292622,-2.5306086,-45.1019195,1,PH01B001,35,U
292623,-2.5307606,-45.1018455,1,PH01B001,58,U
292624,-2.5306548,-45.1018226,1,PH01B001,40,U
292625,-2.5307855,-45.1017081,1,PH01B001,39,U
292626,-2.5307406,-45.1016414,1,PH01B001,23,U
292627,-2.5307616,-45.1016107,1,PH01B001,68,U
292628,-2.5308094,-45.1016351,1,PH01B001,28,U
292629,-2.530897,-45.1013892,1,PH01B001,53,U
292630,-2.5309767,-45.1012053,1,PH01B001,19,U
292631,-2.5308906,-45.1010511,1,PH01B001,22,U
292632,-2.5309119,-45.1009978,1,PH01B001,29,U
292633,-2.5309308,-45.1008961,1,PH01B001,27,U
292634,-2.5309845,-45.1007564,1,PH01B001,121,U
292635,-2.5310008,-45.1006889,1,PH01B001,24,U
292636,-2.5314226,-45.1004505,1,PH01B001,32,U
292637,-2.5317368,-45.1003708,1,PH01B001,40,U
292638,-2.5315841,-45.1004546,1,PH01B001,44,U
292639,-2.5313807,-45.1003642,1,PH01B001,66,U
292640,-2.5312966,-45.1003564,1,PH01B001,22,U
